Month,Category,Amount
2022-01,NEC,8499.8
2022-01,PLAY,5792.4
2022-02,FFA,12757.0
2022-02,HEALTH,1909.67
2022-02,INCOME,1601.03
2022-02,LTSS,-29597.629999999997
2022-02,NEC,9306.91
2022-02,PLAY,7225.08
2022-03,FFA,7619.0
2022-03,HEALTH,1002.95
2022-03,INCOME,6426.04
2022-03,LTSS,-22503.11
2022-03,NEC,11206.91
2022-03,PLAY,9100.29
2022-04,FFA,6018.0
2022-04,HEALTH,1959.3
2022-04,INCOME,3090.8
2022-04,LTSS,-21281.41
2022-04,NEC,14761.5
2022-04,PLAY,1633.41
2022-05,FFA,7015.0
2022-05,HEALTH,2106.02
2022-05,INCOME,5699.93
2022-05,LTSS,-26959.19
2022-05,NEC,14823.48
2022-05,PLAY,8714.62
2022-06,FFA,5819.0
2022-06,HEALTH,2460.98
2022-06,INCOME,1993.13
2022-06,LTSS,-27390.519999999997
2022-06,NEC,16355.56
2022-06,PLAY,4748.110000000001
2022-07,FFA,6769.0
2022-07,HEALTH,773.85
2022-07,INCOME,726.24
2022-07,LTSS,-24507.339999999997
2022-07,NEC,10714.78
2022-07,PLAY,6975.95
2022-08,FFA,6292.0
2022-08,HEALTH,3391.65
2022-08,INCOME,3127.52
2022-08,LTSS,-24282.960000000003
2022-08,NEC,13795.44
2022-08,PLAY,3931.39
2022-09,FFA,16058.0
2022-09,HEALTH,854.1300000000001
2022-09,INCOME,1531.54
2022-09,LTSS,-31896.78
2022-09,NEC,12726.34
2022-09,PLAY,3789.85
2022-10,FFA,7195.0
2022-10,HEALTH,3881.4
2022-10,INCOME,5958.2300000000005
2022-10,LTSS,-11690.840000000004
2022-10,NEC,5085.13
2022-10,PLAY,1487.5400000000002
2022-11,FFA,3138.0
2022-11,HEALTH,2616.55
2022-11,INCOME,1621.12
2022-11,LTSS,-19446.5
2022-11,NEC,11227.37
2022-11,PLAY,4085.7
2022-12,FFA,508.0
2022-12,HEALTH,0.0
2022-12,INCOME,28.48
2022-12,LTSS,-11967.34
2022-12,NEC,10427.9
2022-12,PLAY,1059.92
2023-01,FFA,12940.0
2023-01,HEALTH,323.05
2023-01,INCOME,1909.36
2023-01,LTSS,-37836.030000000006
2023-01,NEC,18334.06
2023-01,PLAY,8148.280000000001
2023-02,FFA,8696.0
2023-02,HEALTH,2659.59
2023-02,INCOME,0.0
2023-02,LTSS,-25566.030000000002
2023-02,NEC,10290.12
2023-02,PLAY,3920.32
2023-03,FFA,6520.0
2023-03,HEALTH,3639.14
2023-03,INCOME,3015.71
2023-03,LTSS,-17209.36
2023-03,NEC,8853.01
2023-03,PLAY,1212.92
2023-04,FFA,2642.0
2023-04,HEALTH,6155.64
2023-04,INCOME,1088.83
2023-04,LTSS,-17190.989999999998
2023-04,NEC,5343.31
2023-04,PLAY,4138.87
2023-05,FFA,7898.0
2023-05,HEALTH,3556.08
2023-05,INCOME,0.0
2023-05,LTSS,-25919.870000000003
2023-05,NEC,11196.36
2023-05,PLAY,3269.4300000000003
2023-06,FFA,7871.0
2023-06,HEALTH,0.0
2023-06,INCOME,5507.92
2023-06,LTSS,-16925.93
2023-06,NEC,12055.31
2023-06,PLAY,2507.54
2023-07,FFA,3443.0
2023-07,HEALTH,7045.78
2023-07,INCOME,1258.9399999999998
2023-07,LTSS,-27048.079999999998
2023-07,NEC,13626.07
2023-07,PLAY,4192.17
2023-08,FFA,5363.0
2023-08,HEALTH,1618.4699999999998
2023-08,INCOME,363.39
2023-08,LTSS,-22008.81
2023-08,NEC,6100.32
2023-08,PLAY,9290.41
2023-09,FFA,5186.0
2023-09,HEALTH,528.51
2023-09,INCOME,2109.01
2023-09,LTSS,-26817.759999999995
2023-09,NEC,14911.99
2023-09,PLAY,8300.27
2023-10,FFA,14193.0
2023-10,HEALTH,4907.42
2023-10,INCOME,1458.39
2023-10,LTSS,-25817.43
2023-10,NEC,6880.38
2023-10,PLAY,1295.02
2023-11,FFA,11246.0
2023-11,HEALTH,2831.78
2023-11,INCOME,3883.14
2023-11,LTSS,-26312.24
2023-11,NEC,11791.69
2023-11,PLAY,4325.91
2023-12,FFA,3601.0
2023-12,HEALTH,4354.53
2023-12,INCOME,6162.6900000000005
2023-12,LTSS,-11929.949999999999
2023-12,NEC,6218.54
2023-12,PLAY,3918.57
2024-01,FFA,15132.0
2024-01,HEALTH,3863.41
2024-01,INCOME,3019.28
2024-01,LTSS,-39009.57000000001
2024-01,NEC,11063.82
2024-01,PLAY,11969.62
2024-02,FFA,3590.0
2024-02,HEALTH,5037.45
2024-02,INCOME,3654.97
2024-02,LTSS,-20087.36
2024-02,NEC,4580.35
2024-02,PLAY,10534.53
2024-03,FFA,5763.0
2024-03,HEALTH,1033.48
2024-03,INCOME,2130.4
2024-03,LTSS,-17938.63
2024-03,NEC,7853.95
2024-03,PLAY,5418.6
2024-04,FFA,9769.0
2024-04,HEALTH,1983.15
2024-04,INCOME,1903.56
2024-04,LTSS,-21405.05
2024-04,NEC,2169.68
2024-04,PLAY,9386.78
2024-05,FFA,1967.0
2024-05,HEALTH,872.75
2024-05,INCOME,1311.28
2024-05,LTSS,-15166.999999999998
2024-05,NEC,9716.0
2024-05,PLAY,3922.53
2024-06,FFA,10069.0
2024-06,HEALTH,2422.16
2024-06,INCOME,3896.28
2024-06,LTSS,-24830.510000000002
2024-06,NEC,11631.61
2024-06,PLAY,4604.02
2024-07,FFA,10509.0
2024-07,HEALTH,3977.95
2024-07,INCOME,4314.35
2024-07,LTSS,-29596.380000000005
2024-07,NEC,16703.99
2024-07,PLAY,2719.79
2024-08,FFA,1211.0
2024-08,HEALTH,1187.6
2024-08,INCOME,3792.15
2024-08,LTSS,-16560.389999999996
2024-08,NEC,10384.9
2024-08,PLAY,7569.04
2024-09,FFA,7209.0
2024-09,HEALTH,2724.02
2024-09,INCOME,1879.91
2024-09,LTSS,-22833.120000000003
2024-09,NEC,8612.84
2024-09,PLAY,6167.17
2024-10,FFA,3896.0
2024-10,HEALTH,4453.31
2024-10,INCOME,4178.35
2024-10,LTSS,-18523.510000000002
2024-10,NEC,8742.05
2024-10,PLAY,5610.5
2024-11,FFA,13167.0
2024-11,HEALTH,1215.55
2024-11,INCOME,5653.77
2024-11,LTSS,-25425.42
2024-11,NEC,7210.78
2024-11,PLAY,9485.86
2024-12,FFA,1425.0
2024-12,HEALTH,1428.01
2024-12,INCOME,784.35
2024-12,LTSS,-10795.220000000001
2024-12,NEC,7999.31
2024-12,PLAY,727.25
